Product Name,Price,Rating,No of Reviews,ASIN,Manufacturer,URL
Red Lemon Medium Size Unisex Adult Bange Series Rhombus Shell Design Waterproof Sling Bag With Usb Charging,"1,899",4.1 out of 5 stars,95,‎B09VGNTDRZ,‎aharctichunter,https://www.amazon.in//sspa/click?ie=UTF8&spc=MTozNzUzNzgyMDIwMDY2NjA0OjE2OTMyMjIwNzc6c3BfbXRmOjIwMDk4NzE5MDg2ODk4OjowOjo&url=%2FRed-Lemon-Unisex-adult-Waterproof-Charging%2Fdp%2FB09VGNTDRZ%2Fref%3Dsr_1_27_sspa%3Fcrid%3D2M096C61O4MLT%26keywords%3Dbags%26qid%3D1693222077%26sprefix%3Dba%252Caps%252C283%26sr%3D8-27-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9tdGY%26psc%3D1
"uppercase Medium 17 Ltrs Vegan Leather (upto 14 inch) Laptop Backpack 2300EBP1 3x more water resistant sustainable bags with rain proof zippers for Men, Women, Boys and Girls, 750 Days warranty","1,600",4.1 out of 5 stars,544,‎B0B69M182Q,‎AcefourAccessoriesPvt.Ltd.,https://www.amazon.in//sspa/click?ie=UTF8&spc=MTozNzUzNzgyMDIwMDY2NjA0OjE2OTMyMjIwNzc6c3BfbXRmOjIwMDYzNzg0NDU4Mzk4OjowOjo&url=%2Fuppercase-Backpack-2300EBP1-repellent-sustainable%2Fdp%2FB0B69M182Q%2Fref%3Dsr_1_28_sspa%3Fcrid%3D2M096C61O4MLT%26keywords%3Dbags%26qid%3D1693222077%26sprefix%3Dba%252Caps%252C283%26sr%3D8-28-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9tdGY%26psc%3D1
"American Tourister VALEX BLUE LAPTOP BACKPACK 28 Ltrs,Volume, LAPTOP COMPARTMENT, BOTTLE POCKET, FRONT ORGANIZER","1,399",4.2 out of 5 stars,694,‎B0BTD4FK9G,‎EXPERTS,https://www.amazon.in//American-Tourister-BACKPACK-COMPARTMENT-ORGANIZER/dp/B0BTD4FK9G/ref=sr_1_29?crid=2M096C61O4MLT&keywords=bags&qid=1693222077&sprefix=ba%2Caps%2C283&sr=8-29
Safari Quill Large Laptop Backpack 26 Ltrs Water Resistant Fabric - Black,859,3.9 out of 5 stars,1K+,‎B09B25Z8M2,‎SafariIndustries,https://www.amazon.in//Safari-Laptop-Backpack-Resistant-Fabric/dp/B09B25Z8M2/ref=sr_1_30?crid=2M096C61O4MLT&keywords=bags&qid=1693222077&sprefix=ba%2Caps%2C283&sr=8-30
ADISA Laptop Backpack 31 Ltrs,399,4.0 out of 5 stars,9K+,‎B07G3CG9FC,‎ADISA,https://www.amazon.in//ADISA-BP004-Weight-Casual-Backpack/dp/B07G3CG9FC/ref=sr_1_31?crid=2M096C61O4MLT&keywords=bags&qid=1693222077&sprefix=ba%2Caps%2C283&sr=8-31
Safari Seek 45 Ltrs Overnighter Expandable Travel Laptop Backpack,"2,249",4.5 out of 5 stars,7.4K+,‎B07BZ5VC4H,‎No,https://www.amazon.in//Safari-45L-21-OB-BLK/dp/B07BZ5VC4H/ref=sr_1_32?crid=2M096C61O4MLT&keywords=bags&qid=1693222077&sprefix=ba%2Caps%2C283&sr=8-32
ADISA Light Weight Laptop Backpack 32 Ltrs,499,4.0 out of 5 stars,6K+,‎B07F3X45WZ,‎ADISA,https://www.amazon.in//ADISA-BP005-Weight-Casual-Backpack/dp/B07F3X45WZ/ref=sr_1_33?crid=2M096C61O4MLT&keywords=bags&qid=1693222077&sprefix=ba%2Caps%2C283&sr=8-33
Safari Quill Large Laptop Backpack 26 Ltrs Water Resistant Fabric - Blue,859,4.0 out of 5 stars,784,‎B09B28TKLG,‎SafariIndustries,https://www.amazon.in//Safari-Laptop-Backpack-Resistant-Fabric/dp/B09B28TKLG/ref=sr_1_34?crid=2M096C61O4MLT&keywords=bags&qid=1693222077&sprefix=ba%2Caps%2C283&sr=8-34
FUR JADEN Anti Theft Backpack 15.6 Inch Laptop Bag with USB Charging Port For Men Women Boys Girls,839,4.0 out of 5 stars,13.9K+,‎B078GLXMDY,‎No,https://www.amazon.in//Fur-Jaden-Black-Waterproof-Backpack/dp/B078GLXMDY/ref=sr_1_35?crid=2M096C61O4MLT&keywords=bags&qid=1693222077&sprefix=ba%2Caps%2C283&sr=8-35
Genie Flamenco2 Casual Backpacks for Women,733,4.4 out of 5 stars,1.5K+,‎B08YF9VHTY,‎Safari,https://www.amazon.in//Genie-Flamenco2-Backpack-Compatible-Resistant/dp/B08YF9VHTY/ref=sr_1_36?crid=2M096C61O4MLT&keywords=bags&qid=1693222077&sprefix=ba%2Caps%2C283&sr=8-36
uppercase 14 Ltrs Medium (14.6 Inch) Laptop Backpack 2100EBP1 Roll Top Office College 3x More Water Repellent Sustainable Bags With Rainproof Zippers For Unisex,"1,000",4.2 out of 5 stars,182,‎B0B691HSL3,‎AcefourAccessoriesPvt.Ltd.,https://www.amazon.in//sspa/click?ie=UTF8&spc=MTozNzUzNzgyMDIwMDY2NjA0OjE2OTMyMjIwNzc6c3BfYnRmOjIwMDk3NTc5NTAxNzk4OjowOjo&url=%2FUppercase-Medium-Laptop-Backpack-2100Ebp1%2Fdp%2FB0B691HSL3%2Fref%3Dsr_1_37_sspa%3Fcrid%3D2M096C61O4MLT%26keywords%3Dbags%26qid%3D1693222077%26sprefix%3Dba%252Caps%252C283%26sr%3D8-37-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9idGY%26psc%3D1
"uppercase Medium 23 Ltrs Tall Boy (14.6 inch) Laptop Backpack 2500EBP1 3x more water resistant sustainable bag with rain proof zippers for Men, Women, Boys and Girls, 750 Days warranty","1,700",4.0 out of 5 stars,269,‎B0B81YTTWS,‎AcefourAccessoriesPvt.Ltd.,https://www.amazon.in//sspa/click?ie=UTF8&spc=MTozNzUzNzgyMDIwMDY2NjA0OjE2OTMyMjIwNzc6c3BfYnRmOjIwMDY1NTMzNjg0Njk4OjowOjo&url=%2FUppercase-Medium-Size-Backpack-_Blue%2Fdp%2FB0B81YTTWS%2Fref%3Dsr_1_38_sspa%3Fcrid%3D2M096C61O4MLT%26keywords%3Dbags%26qid%3D1693222077%26sprefix%3Dba%252Caps%252C283%26sr%3D8-38-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9idGY%26psc%3D1
