Product Name,Price,Rating,No of Reviews,ASIN,Manufacturer,URL
Forever Manifest Large 35 L Laptop Backpack Spacy unisex Backpack with rain cover (Navy Blue),799,No rating,No reviews,‎B0B9JRQ7HH,"‎FOREVERBAGSIBLDNG.NO.B7B,GALANO.102/103/104,ParasnathComplex,Bhiwandi-421302",https://www.amazon.in//sspa/click?ie=UTF8&spc=MTozNjczNTY4NjYxMzIyNjA0OjE2OTMyMjE4MjY6c3BfYXRmX25leHQ6MjAxMDMyNzYzMDM0OTg6OjA6Og&url=%2FForever-Manifest-Laptop-Backpack-unisex%2Fdp%2FB0B9JRQ7HH%2Fref%3Dsr_1_33_sspa%3Fcrid%3D2M096C61O4MLT%26keywords%3Dbags%26qid%3D1693221826%26sprefix%3Dba%252Caps%252C283%26sr%3D8-33-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGZfbmV4dA%26psc%3D1
"uppercase Medium 23 Ltrs Tall Boy (14.6 inch) Laptop Backpack 2500EBP1 3x more water resistant sustainable bag with rain proof zippers for Men, Women, Boys and Girls, 750 Days warranty","1,700",4.0 out of 5 stars,269,‎B0B81YTTWS,‎AcefourAccessoriesPvt.Ltd.,https://www.amazon.in//sspa/click?ie=UTF8&spc=MTozNjczNTY4NjYxMzIyNjA0OjE2OTMyMjE4MjY6c3BfYXRmX25leHQ6MjAwNjU1MzM2ODQ2OTg6OjA6Og&url=%2FUppercase-Medium-Size-Backpack-_Blue%2Fdp%2FB0B81YTTWS%2Fref%3Dsr_1_34_sspa%3Fcrid%3D2M096C61O4MLT%26keywords%3Dbags%26qid%3D1693221826%26sprefix%3Dba%252Caps%252C283%26sr%3D8-34-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGZfbmV4dA%26psc%3D1
"Wesley Milestone 2.0 Casual Waterproof Laptop Backpack/Office Bag/School Bag/College Bag/Business Bag/Travel Backpack (Dimensions:13x18 inches) (Compatible with 39.62cm(15.6inch laptop) 30 L, Charcoal black",550,4.3 out of 5 stars,"12,435",B085S444JV,‎AcefourAccessoriesPvt.Ltd.,https://www.amazon.in//Wesley-Milestone-Waterproof-Backpack-Business/dp/B085S444JV/ref=sr_1_35?crid=2M096C61O4MLT&keywords=bags&qid=1693221826&sprefix=ba%2Caps%2C283&sr=8-35
ADISA 32L large laptop backpack office bag college travel back pack with rain cover,599,3.9 out of 5 stars,331,‎B0BPTV3795,‎ADISA,https://www.amazon.in//ADISA-Laptop-Backpack-Office-College/dp/B0BPTV3795/ref=sr_1_36?crid=2M096C61O4MLT&keywords=bags&qid=1693221826&sprefix=ba%2Caps%2C283&sr=8-36
Safari Compact Size 15 Ltrs Casual Backpack For Unisex Adult - Sea Blue,329,4.0 out of 5 stars,"20,577",‎B07Q7CNPMV,‎SafariIndustries(India)Ltd,https://www.amazon.in//SAFARI-Ltrs-Casual-Backpack-DAYPACKNEO15CBSEB/dp/B07Q7CNPMV/ref=sr_1_37?crid=2M096C61O4MLT&keywords=bags&qid=1693221826&sprefix=ba%2Caps%2C283&sr=8-37
ADISA 32L large laptop backpack office bag college travel back pack with rain cover,599,3.9 out of 5 stars,331,‎B0BPVCBFM7,‎ADISA,https://www.amazon.in//ADISA-Laptop-Backpack-Office-College/dp/B0BPVCBFM7/ref=sr_1_38?crid=2M096C61O4MLT&keywords=bags&qid=1693221826&sprefix=ba%2Caps%2C283&sr=8-38
ADISA 32L large laptop backpack office bag college travel back pack with rain cover,599,3.9 out of 5 stars,331,‎B0BPVLXD53,‎ADISA,https://www.amazon.in//ADISA-Laptop-Backpack-Office-College/dp/B0BPVLXD53/ref=sr_1_39?crid=2M096C61O4MLT&keywords=bags&qid=1693221826&sprefix=ba%2Caps%2C283&sr=8-39
ADISA 31 Ltrs Casual Backpack School College Bag Pack,399,3.9 out of 5 stars,224,‎B0BX3QFVSM,‎ADISA,https://www.amazon.in//ADISA-Casual-Backpack-College-BP046-NAV_Navy/dp/B0BX3QFVSM/ref=sr_1_40?crid=2M096C61O4MLT&keywords=bags&qid=1693221826&sprefix=ba%2Caps%2C283&sr=8-40
"Safari Spartan 21 Ltrs Water Resistant Backpack - Blue, S (SPARTAN19CBBLU)",609,3.8 out of 5 stars,980,‎B09B26MB5M,‎SafariIndustries,https://www.amazon.in//Safari-Spartan-Water-Resistant-Backpack/dp/B09B26MB5M/ref=sr_1_41?crid=2M096C61O4MLT&keywords=bags&qid=1693221826&sprefix=ba%2Caps%2C283&sr=8-41
Safari Sheild 26 Ltrs Water Resistant Casual Backpack - (SHEILD19CBBLK),709,4.0 out of 5 stars,563,‎B09B28M2RN,‎SafariIndustries,https://www.amazon.in//Safari-Sheild-Resistant-Casual-Backpack/dp/B09B28M2RN/ref=sr_1_42?crid=2M096C61O4MLT&keywords=bags&qid=1693221826&sprefix=ba%2Caps%2C283&sr=8-42
Red Lemon Medium Size Unisex Adult Bange Series Rhombus Shell Design Waterproof Sling Bag With Usb Charging,"1,899",4.1 out of 5 stars,95,‎B09VGNTDRZ,‎SafariIndustries,https://www.amazon.in//sspa/click?ie=UTF8&spc=MTozNjczNTY4NjYxMzIyNjA0OjE2OTMyMjE4MjY6c3BfbXRmOjIwMDk4NzE5MDg2ODk4OjowOjo&url=%2FRed-Lemon-Unisex-adult-Waterproof-Charging%2Fdp%2FB09VGNTDRZ%2Fref%3Dsr_1_43_sspa%3Fcrid%3D2M096C61O4MLT%26keywords%3Dbags%26qid%3D1693221826%26sprefix%3Dba%252Caps%252C283%26sr%3D8-43-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9tdGY%26psc%3D1
